Country,Market Segment,Fiscal Year,Loss Making Share (%),Change in Loss Making Share (%),Market Cap Threshold (USD Million),Number of Companies Analyzed,Earnings Quality Score,Key Driver,Sector Contribution (%),Debt to Equity Ratio (Avg),ROE Improvement (pp),Global Benchmark Comparison,Data Source,Report Date,Vulnerability Index,Investment Implication
Western Europe,Large-cap,FY21,17.0,0.0,100,420,72,"Large-cap resilience in utilities and staples","25.0",0.70,0.3,In line,"Yes Securities via Mint","2025-09-18",4,"Core holdings"
Western Europe,Large-cap,FY22,17.5,0.5,100,420,71,"Slow demand recovery in some sectors","25.5",0.72,0.1,In line,"Yes Securities via Mint","2025-09-18",4,"Hold high-quality large caps"
Western Europe,Large-cap,FY23,17.2,-0.3,100,420,71,"Stable cash flows for large firms","25.0",0.70,0.1,In line,"Yes Securities via Mint","2025-09-18",4,"Reduce cyclicals"
Western Europe,Large-cap,FY24,17.0,-0.2,100,420,70,"Defensive sectors outperforming","24.5",0.68,0.0,In line,"Yes Securities via Mint","2025-09-18",4,"Defensive bias"
Western Europe,Large-cap,FY25,16.8,-0.2,100,420,70,"Stabilized loss share in big caps","24.0",0.66,0.1,In line,"Yes Securities via Mint","2025-09-18",3,"Hold long-term"
Western Europe,Small-cap,FY21,22.0,0.0,100,630,60,"Small EU firms sensitive to demand shocks","32.0",1.00,-0.8,Underperformer,"Yes Securities via Mint","2025-09-18",7,"High risk — pick quality only"
Western Europe,Small-cap,FY22,21.8,-0.2,100,630,59,"Some stabilization in domestic demand","31.0",0.98,-0.2,Underperformer,"Yes Securities via Mint","2025-09-18",7,"Opportunistic small-cap picks"
Western Europe,Small-cap,FY23,21.5,-0.3,100,630,58,"Slow improvement in margins","30.0",0.95,0.1,Underperformer,"Yes Securities via Mint","2025-09-18",6,"Selective exposure"
Western Europe,Small-cap,FY24,21.0,-0.5,100,630,58,"Gradual deleveraging among small firms","29.0",0.90,0.2,Underperformer,"Yes Securities via Mint","2025-09-18",6,"Tactical buying"
Western Europe,Small-cap,FY25,20.6,-0.4,100,630,57,"Lower vulnerability but still elevated losses","28.5",0.88,0.1,Underperformer,"Yes Securities via Mint","2025-09-18",6,"Small allocation only"
